,LineId,Datetime,Service,Content,EventId,EventTemplate,ParameterList,timestamp
0,2,2021-07-01,mobservice2,"""2021-07-01 10:54:22,284 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | c124e30fb40651dc | the list of all available services are redisservice1: http://0.0.0.1:9386, redisservice2: http://0.0.0.2:9387",04fc62a7,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | the list of all available services are redisservice1: http:/<*>, redisservice2: http:/<*>","['2021', '07-01 10', '54:22', '284', '0.0.0.4', '172.17.0.2', 'c124e30fb40651dc', '/0.0.0.1:9386', '/0.0.0.2:9387']",1625151262.0
1,3,2021-07-01,mobservice2,"""2021-07-01 10:54:22,297 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | c124e30fb40651dc | now call service:redisservice2, inst:http://0.0.0.2:9387 as a downstream service",4d53999a,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | now call <*> inst:http:/<*> as a downstream service","['2021', '07-01 10', '54:22', '297', '0.0.0.4', '172.17.0.2', 'c124e30fb40651dc', 'service:redisservice2,', '/0.0.0.2:9387']",1625151262.0
2,4,2021-07-01,mobservice2,"""2021-07-01 10:54:22,297 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | c124e30fb40651dc | request http://0.0.0.2:9387/get_value_from_redis and param={'keys': 'a3036736-da17-11eb-9811-0242ac110003'}",1cf1ee8d,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | request http:/<*>/get_value_from_redis and param={'keys': <*>","['2021', '07-01 10', '54:22', '297', '0.0.0.4', '172.17.0.2', 'c124e30fb40651dc', '/0.0.0.2:9387', ""'a3036736-da17-11eb-9811-0242ac110003'}""]",1625151262.0
3,5,2021-07-01,mobservice2,"""2021-07-01 10:54:22,404 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | c124e30fb40651dc | request http://0.0.0.2:9387/set_key_value_into_redis and param={'keys': 'a3036736-da17-11eb-9811-0242ac110003', 'value': 'ToeLCkHR'}",6a042719,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | request http:/<*>/set_key_value_into_redis and param={'keys': <*> 'value': <*>","['2021', '07-01 10', '54:22', '404', '0.0.0.4', '172.17.0.2', 'c124e30fb40651dc', '/0.0.0.2:9387', ""'a3036736-da17-11eb-9811-0242ac110003',"", ""'ToeLCkHR'}""]",1625151262.0
4,6,2021-07-01,mobservice2,"""2021-07-01 10:54:22,439 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | c124e30fb40651dc | info a3036736-da17-11eb-9811-0242ac110003:ToeLCkHR write success",40264d24,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | info <*> write success","['2021', '07-01 10', '54:22', '439', '0.0.0.4', '172.17.0.2', 'c124e30fb40651dc', 'a3036736-da17-11eb-9811-0242ac110003:ToeLCkHR']",1625151262.0
5,11,2021-07-01,mobservice2,"""2021-07-01 10:54:27,455 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 9c93009a121c86a1 | info a62dfc64-da17-11eb-9196-0242ac110003:TpPSMOEF write success",40264d24,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | info <*> write success","['2021', '07-01 10', '54:27', '455', '0.0.0.4', '172.17.0.2', '9c93009a121c86a1', 'a62dfc64-da17-11eb-9196-0242ac110003:TpPSMOEF']",1625151267.0
6,9,2021-07-01,mobservice2,"""2021-07-01 10:54:27,393 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 9c93009a121c86a1 | request http://0.0.0.2:9387/get_value_from_redis and param={'keys': 'a62dfc64-da17-11eb-9196-0242ac110003'}",1cf1ee8d,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | request http:/<*>/get_value_from_redis and param={'keys': <*>","['2021', '07-01 10', '54:27', '393', '0.0.0.4', '172.17.0.2', '9c93009a121c86a1', '/0.0.0.2:9387', ""'a62dfc64-da17-11eb-9196-0242ac110003'}""]",1625151267.0
7,10,2021-07-01,mobservice2,"""2021-07-01 10:54:27,424 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 9c93009a121c86a1 | request http://0.0.0.2:9387/set_key_value_into_redis and param={'keys': 'a62dfc64-da17-11eb-9196-0242ac110003', 'value': 'TpPSMOEF'}",6a042719,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | request http:/<*>/set_key_value_into_redis and param={'keys': <*> 'value': <*>","['2021', '07-01 10', '54:27', '424', '0.0.0.4', '172.17.0.2', '9c93009a121c86a1', '/0.0.0.2:9387', ""'a62dfc64-da17-11eb-9196-0242ac110003',"", ""'TpPSMOEF'}""]",1625151267.0
8,8,2021-07-01,mobservice2,"""2021-07-01 10:54:27,392 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 9c93009a121c86a1 | now call service:redisservice2, inst:http://0.0.0.2:9387 as a downstream service",4d53999a,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | now call <*> inst:http:/<*> as a downstream service","['2021', '07-01 10', '54:27', '392', '0.0.0.4', '172.17.0.2', '9c93009a121c86a1', 'service:redisservice2,', '/0.0.0.2:9387']",1625151267.0
9,7,2021-07-01,mobservice2,"""2021-07-01 10:54:27,392 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 9c93009a121c86a1 | the list of all available services are redisservice1: http://0.0.0.1:9386, redisservice2: http://0.0.0.2:9387",04fc62a7,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | the list of all available services are redisservice1: http:/<*>, redisservice2: http:/<*>","['2021', '07-01 10', '54:27', '392', '0.0.0.4', '172.17.0.2', '9c93009a121c86a1', '/0.0.0.1:9386', '/0.0.0.2:9387']",1625151267.0
10,12,2021-07-01,mobservice2,"""2021-07-01 14:11:53,953 | INFO | 0.0.0.4 | 172.17.0.2 | mobservice2 | 12ef1025e43ec0ef | the list of all available services are redisservice1: http://0.0.0.1:9386, redisservice2: http://0.0.0.2:9387",04fc62a7,"""<*>-<*>-<*> <*>:<*>:<*>,<*> | INFO | <*> | <*> | mobservice2 | <*> | the list of all available services are redisservice1: http:/<*>, redisservice2: http:/<*>","['2021', '07-01 14', '11:53', '953', '0.0.0.4', '172.17.0.2', '12ef1025e43ec0ef', '/0.0.0.1:9386', '/0.0.0.2:9387']",1625163113.0
